epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,2199.41,1.05443,0.89038,0.87487,1.0437,0,0.86345,0.48649,0.59733,0.39623,0.73987,0.56757,0.61389,0.37193,1.08081,0.6766,1.10929,1.06405,0,0.0006932,0.0006932,0.0006932
68,2230.76,1.10988,0.84558,0.89037,1.04973,0,0.72576,0.55405,0.60193,0.37689,0.74364,0.56757,0.61847,0.37341,1.22678,0.66673,1.14164,1.0818,0,0.0006734,0.0006734,0.0006734
69,2262.78,1.03337,0.81419,0.82615,1.0102,0,0.787,0.52703,0.61199,0.39318,0.787,0.52703,0.61532,0.37795,1.24355,0.66635,1.11704,1.0945,0,0.0006536,0.0006536,0.0006536
70,2297.41,1.04186,0.90865,0.83193,1.01771,0,0.70875,0.55405,0.61549,0.41247,0.8637,0.48649,0.61092,0.35695,1.01737,0.69746,1.00582,1.09123,0,0.0006338,0.0006338,0.0006338
71,2333.52,1.05516,0.91653,0.8773,1.03168,0,0.77237,0.52703,0.60967,0.40923,0.88717,0.48649,0.60354,0.36863,0.98086,0.71724,1.00549,1.08795,0,0.000614,0.000614,0.000614
72,2367.03,1.08916,0.85725,0.91259,1.08701,0,0.819,0.51351,0.59633,0.39929,0.90656,0.52447,0.6185,0.36487,1.02193,0.68481,1.02161,1.07718,0,0.0005942,0.0005942,0.0005942
73,2399.41,1.0687,0.94091,0.87748,1.05273,0,0.80319,0.52703,0.59938,0.39448,0.88273,0.50869,0.61755,0.378,1.0905,0.63046,1.0485,1.07119,0,0.0005744,0.0005744,0.0005744
74,2431.17,1.00002,0.84614,0.84618,1.0092,0,0.78544,0.54421,0.59179,0.39887,0.76643,0.53218,0.59182,0.34835,1.03815,0.62683,1.0743,1.06415,0,0.0005546,0.0005546,0.0005546
75,2462.43,0.98105,0.79386,0.79457,1.03084,0,0.79686,0.54054,0.5969,0.41443,0.77631,0.52703,0.58769,0.36634,0.96189,0.64871,1.06516,1.05254,0,0.0005348,0.0005348,0.0005348
76,2494.37,1.00629,0.87709,0.83239,1.0196,0,0.8094,0.52703,0.59125,0.4084,0.8094,0.52703,0.59431,0.36364,1.05677,0.686,1.13627,1.03856,0,0.000515,0.000515,0.000515
77,2528.04,0.98062,0.81869,0.81119,1.00704,0,0.81232,0.51351,0.58453,0.40095,0.8318,0.51351,0.59687,0.35425,1.02667,0.7032,1.11876,1.04712,0,0.0004952,0.0004952,0.0004952
